kapr,1067,2531.2
lín,16,17.3
cejn,68,59.7
tloust,29,32.8
okoun,36,8.7
parma,3,9.0
ostroretka,0,0.0
podoustev,0,0.0
štika,63,157.7
candát,4,10.6
sumec,22,190.0
úhoř,43,28.7
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,2,7.2
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,9,35.7
tolstolobik,0,0.0
karas,42,24.1
mník,0,0.0
jelec jesen,19,11.5
ostatní,213,14.0
celkem uloveno,1636,3138.0
počet docházek,8593, 
počet zápisů rs,26, 
počet rybářů,1282, 
