kapr,363,698.6
lín,9,6.6
cejn,20,11.6
tloust,33,35.1
okoun,16,11.1
parma,2,4.0
ostroretka,2,1.6
podoustev,21,9.8
štika,77,193.9
candát,19,34.3
sumec,0,0.0
úhoř,14,7.5
pstruh obecný,8,2.6
pstruh duhový,2,0.5
lipan,0,0.0
siven,0,0.0
bolen,1,3.5
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,1,1.7
tolstolobik,0,0.0
karas,1,0.6
mník,0,0.0
jelec jesen,1,0.8
ostatní,118,10.5
celkem uloveno,708,1034.2
počet docházek,3637, 
počet zápisů rs,6, 
počet rybářů,555, 
