kapr,979,1556.0
lín,46,18.0
cejn,78,41.2
tloust,19,15.5
okoun,28,3.1
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,112,172.6
candát,61,80.0
sumec,3,56.1
úhoř,10,9.3
pstruh obecný,1,0.7
pstruh duhový,4,4.4
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,4,8.3
tolstolobik,0,0.0
karas,7,1.7
mník,0,0.0
jelec jesen,1,1.3
ostatní,313,15.8
celkem uloveno,1666,1983.9
počet docházek,5913, 
počet zápisů rs,70, 
počet rybářů,673, 
