kapr,265,514.7
lín,14,11.1
cejn,64,27.5
tloust,74,35.0
okoun,20,7.2
parma,5,8.7
ostroretka,0,0.0
podoustev,1,0.4
štika,72,150.0
candát,10,12.3
sumec,1,5.6
úhoř,2,1.1
pstruh obecný,8,2.7
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,1,1.5
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,2,5.6
tolstolobik,0,0.0
karas,0,0.0
mník,0,0.0
jelec jesen,3,2.3
ostatní,202,10.5
celkem uloveno,744,796.0
počet docházek,3676, 
počet zápisů rs,27, 
počet rybářů,742, 
