kapr,6723,13370.4
lín,89,36.5
cejn,5294,1242.9
tloust,10,5.9
okoun,45,10.1
parma,0,0.0
ostroretka,4,1.0
podoustev,16,5.1
štika,129,286.4
candát,245,631.5
sumec,113,1442.5
úhoř,12,10.7
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,26,58.5
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,54,236.7
tolstolobik,45,4.4
karas,432,172.3
mník,0,0.0
jelec jesen,5,2.0
ostatní,1379,112.7
celkem uloveno,14621,17629.4
počet docházek,32431, 
počet zápisů rs,506, 
počet rybářů,3670, 
