kapr,692,1419.8
lín,33,33.6
cejn,25,39.8
tloust,17,19.3
okoun,4,1.3
parma,0,0.0
ostroretka,1,0.7
podoustev,5,5.6
štika,110,188.7
candát,24,35.4
sumec,0,0.0
úhoř,5,4.9
pstruh obecný,4,4.6
pstruh duhový,6,5.0
lipan,2,0.7
siven,0,0.0
bolen,1,1.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,3,9.5
tolstolobik,0,0.0
karas,0,0.0
mník,0,0.0
jelec jesen,2,2.4
ostatní,152,11.4
celkem uloveno,1086,1783.5
počet docházek,4519, 
počet zápisů rs,44, 
počet rybářů,638, 
