kapr,1326,2721.1
lín,50,37.7
cejn,334,184.1
tloust,57,57.3
okoun,45,13.2
parma,1,2.0
ostroretka,17,5.3
podoustev,74,26.3
štika,111,258.5
candát,19,48.1
sumec,9,111.0
úhoř,64,38.5
pstruh obecný,90,32.7
pstruh duhový,149,47.8
lipan,1,0.3
siven,1,1.0
bolen,10,16.7
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,17,56.4
tolstolobik,1,4.0
karas,60,21.0
mník,0,0.0
jelec jesen,16,14.9
ostatní,440,65.6
celkem uloveno,2892,3763.4
počet docházek,11796, 
počet zápisů rs,108, 
počet rybářů,1704, 
