kapr,146,250.3
lín,28,9.4
cejn,28,20.6
tloust,7,7.0
okoun,34,22.3
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,45,76.8
candát,3,4.1
sumec,1,4.0
úhoř,0,0.0
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,0,0.0
tolstolobik,0,0.0
karas,1,0.8
mník,0,0.0
jelec jesen,0,0.0
ostatní,91,6.4
celkem uloveno,384,401.5
počet docházek,2127, 
počet zápisů rs,9, 
počet rybářů,377, 
