kapr,12407,28132.8
lín,154,117.0
cejn,3876,2173.3
tloust,45,21.8
okoun,703,269.1
parma,0,0.0
ostroretka,0,0.0
podoustev,5,2.2
štika,462,912.3
candát,660,1128.3
sumec,72,579.6
úhoř,154,136.3
pstruh obecný,10,2.7
pstruh duhový,1,0.4
lipan,0,0.0
siven,0,0.0
bolen,36,75.6
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,8,22.8
tolstolobik,21,0.5
karas,142,67.1
mník,0,0.0
jelec jesen,17,5.9
ostatní,2658,137.2
celkem uloveno,21431,33784.7
počet docházek,78255, 
počet zápisů rs,368, 
počet rybářů,6300, 
