kapr,327,660.0
lín,27,11.5
cejn,19,18.5
tloust,10,9.8
okoun,6,1.5
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,53,96.1
candát,8,11.2
sumec,0,0.0
úhoř,23,13.3
pstruh obecný,20,9.0
pstruh duhový,47,19.8
lipan,0,0.0
siven,2,0.5
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,1,1.6
tolstolobik,0,0.0
karas,6,3.9
mník,0,0.0
jelec jesen,1,0.5
ostatní,212,7.5
celkem uloveno,762,864.5
počet docházek,2654, 
počet zápisů rs,3, 
počet rybářů,425, 
