kapr,382,913.2
lín,9,8.9
cejn,93,19.7
tloust,0,0.0
okoun,3,0.4
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,23,63.3
candát,43,64.9
sumec,0,0.0
úhoř,10,8.9
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,7,22.3
tolstolobik,0,0.0
karas,0,0.0
mník,0,0.0
jelec jesen,0,0.0
ostatní,10,0.5
celkem uloveno,580,1102.1
počet docházek,1911, 
počet zápisů rs,11, 
počet rybářů,329, 
