kapr,373,807.8
lín,2,0.6
cejn,40,15.3
tloust,0,0.0
okoun,12,4.2
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,36,48.3
candát,27,47.2
sumec,1,18.0
úhoř,1,1.0
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,1,0.3
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,15,42.0
tolstolobik,0,0.0
karas,2,2.6
mník,0,0.0
jelec jesen,1,0.8
ostatní,363,28.6
celkem uloveno,874,1016.7
počet docházek,2552, 
počet zápisů rs,61, 
počet rybářů,449, 
,,
