kapr,746,1366.5
lín,6,3.2
cejn,4,2.3
tloust,0,0.0
okoun,0,0.0
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,15,29.3
candát,10,19.5
sumec,2,27.0
úhoř,0,0.0
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,2,7.4
tolstolobik,0,0.0
karas,7,5.5
mník,0,0.0
jelec jesen,0,0.0
ostatní,61,1.5
celkem uloveno,853,1462.2
počet docházek,2101, 
počet zápisů rs,44, 
počet rybářů,427, 
