kapr,1284,2420.6
lín,14,6.7
cejn,65,52.8
tloust,7,6.4
okoun,111,20.7
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,91,172.7
candát,8,14.3
sumec,0,0.0
úhoř,7,7.4
pstruh obecný,3,1.2
pstruh duhový,7,4.2
lipan,5,1.8
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,2,8.6
tolstolobik,0,0.0
karas,6,2.5
mník,0,0.0
jelec jesen,0,0.0
ostatní,113,5.6
celkem uloveno,1723,2725.4
počet docházek,4481, 
počet zápisů rs,75, 
počet rybářů,573, 
