kapr,1978,3310.0
lín,98,40.4
cejn,200,44.0
tloust,1,0.5
okoun,12,2.0
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,66,118.5
candát,40,65.0
sumec,3,17.3
úhoř,21,15.1
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,1,5.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,67,240.0
tolstolobik,0,0.0
karas,47,13.7
mník,0,0.0
jelec jesen,0,0.0
ostatní,132,10.9
celkem uloveno,2666,3882.4
počet docházek,20848, 
počet zápisů rs,797, 
počet rybářů,633, 
