kapr,26489,73079.2
lín,233,132.1
cejn,6902,5227.2
tloust,54,36.7
okoun,1310,657.5
parma,0,0.0
ostroretka,8,3.6
podoustev,4,1.8
štika,1047,2140.4
candát,5604,10856.6
sumec,1295,6879.4
úhoř,243,225.0
pstruh obecný,20,18.6
pstruh duhový,7,7.4
lipan,0,0.0
siven,4,1.6
bolen,164,375.9
maréna. peleď,0,0.0
hlavatka,1,7.5
amur,1060,3893.4
tolstolobik,15,264.9
karas,609,227.0
mník,0,0.0
jelec jesen,32,27.1
ostatní,4191,485.1
celkem uloveno,49292,104548.1
počet docházek,166097, 
počet zápisů rs,1155, 
počet rybářů,14691, 
