kapr,1772,3316.6
lín,4,1.6
cejn,204,44.6
tloust,2,0.8
okoun,0,0.0
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,59,100.7
candát,57,126.1
sumec,5,74.1
úhoř,15,9.5
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,1,1.5
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,16,93.2
tolstolobik,0,0.0
karas,89,83.7
mník,0,0.0
jelec jesen,3,0.8
ostatní,257,23.7
celkem uloveno,2484,3876.8
počet docházek,8129, 
počet zápisů rs,41, 
počet rybářů,1212, 
