kapr,911,2285.7
lín,0,0.0
cejn,0,0.0
tloust,0,0.0
okoun,3,2.3
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,16,47.8
candát,3,16.3
sumec,3,47.3
úhoř,17,8.4
pstruh obecný,17,11.6
pstruh duhový,90,76.9
lipan,0,0.0
siven,74,29.4
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,7,22.5
tolstolobik,0,0.0
karas,6,3.1
mník,0,0.0
jelec jesen,0,0.0
ostatní,103,5.6
celkem uloveno,1250,2556.8
počet docházek,15492, 
počet zápisů rs,24, 
počet rybářů,397, 
