kapr,1052,2268.1
lín,10,6.7
cejn,82,47.2
tloust,18,13.8
okoun,10,5.0
parma,0,0.0
ostroretka,0,0.0
podoustev,4,2.2
štika,116,223.3
candát,25,38.1
sumec,0,0.0
úhoř,35,19.2
pstruh obecný,1,0.3
pstruh duhový,1,0.5
lipan,0,0.0
siven,0,0.0
bolen,2,3.6
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,0,0.0
tolstolobik,0,0.0
karas,5,1.5
mník,0,0.0
jelec jesen,3,1.4
ostatní,456,16.9
celkem uloveno,1820,2647.8
počet docházek,5584, 
počet zápisů rs,17, 
počet rybářů,608, 
