kapr,1024,2155.4
lín,23,16.9
cejn,108,47.4
tloust,34,28.9
okoun,22,9.6
parma,0,0.0
ostroretka,0,0.0
podoustev,5,2.4
štika,179,311.1
candát,55,86.0
sumec,5,33.6
úhoř,36,28.8
pstruh obecný,8,2.1
pstruh duhový,6,2.5
lipan,0,0.0
siven,0,0.0
bolen,4,7.4
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,6,15.8
tolstolobik,0,0.0
karas,15,5.3
mník,0,0.0
jelec jesen,4,2.8
ostatní,771,32.6
celkem uloveno,2305,2788.6
počet docházek,9662, 
počet zápisů rs,104, 
počet rybářů,1148, 
