kapr,470,1233.4
lín,20,20.9
cejn,44,36.6
tloust,56,42.8
okoun,3,2.0
parma,1,3.0
ostroretka,0,0.0
podoustev,1,0.2
štika,65,245.7
candát,24,70.4
sumec,24,172.6
úhoř,23,17.1
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,1,3.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,7,36.4
tolstolobik,0,0.0
karas,24,9.7
mník,0,0.0
jelec jesen,1,0.3
ostatní,135,13.4
celkem uloveno,899,1907.4
počet docházek,6322, 
počet zápisů rs,38, 
počet rybářů,1194, 
