kapr,618,1277.0
lín,3,4.8
cejn,29,9.3
tloust,0,0.0
okoun,4,2.0
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,39,75.9
candát,3,11.4
sumec,0,0.0
úhoř,2,1.7
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,11,54.3
tolstolobik,1,31.0
karas,36,6.7
mník,0,0.0
jelec jesen,0,0.0
ostatní,245,15.5
celkem uloveno,991,1489.5
počet docházek,5143, 
počet zápisů rs,31, 
počet rybářů,703, 
