kapr,315,634.1
lín,6,3.4
cejn,65,9.1
tloust,0,0.0
okoun,0,0.0
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,8,17.4
candát,10,19.5
sumec,0,0.0
úhoř,2,1.4
pstruh obecný,0,0.0
pstruh duhový,3,1.2
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,1,3.0
tolstolobik,0,0.0
karas,105,26.8
mník,0,0.0
jelec jesen,0,0.0
ostatní,97,3.8
celkem uloveno,612,719.8
počet docházek,1824, 
počet zápisů rs,35, 
počet rybářů,356, 
