kapr,886,1708.3
lín,3,1.1
cejn,26,4.9
tloust,3,2.7
okoun,0,0.0
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,57,107.7
candát,19,47.3
sumec,10,88.2
úhoř,6,4.8
pstruh obecný,0,0.0
pstruh duhový,3,0.9
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,0,0.0
tolstolobik,0,0.0
karas,11,9.9
mník,0,0.0
jelec jesen,0,0.0
ostatní,91,5.4
celkem uloveno,1115,1981.0
počet docházek,3634, 
počet zápisů rs,87, 
počet rybářů,626, 
