kapr,1031,2095.2
lín,7,4.8
cejn,62,32.8
tloust,20,15.7
okoun,32,9.4
parma,0,0.0
ostroretka,0,0.0
podoustev,2,1.0
štika,108,210.9
candát,18,19.0
sumec,2,12.8
úhoř,8,5.2
pstruh obecný,0,0.0
pstruh duhový,1,1.0
lipan,0,0.0
siven,0,0.0
bolen,4,6.9
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,0,0.0
tolstolobik,0,0.0
karas,11,5.1
mník,0,0.0
jelec jesen,2,2.4
ostatní,285,21.8
celkem uloveno,1593,2443.8
počet docházek,6370, 
počet zápisů rs,11, 
počet rybářů,871, 
