kapr,1488,2904.0
lín,106,54.4
cejn,1201,379.8
tloust,80,79.7
okoun,32,12.6
parma,1,0.3
ostroretka,2,2.1
podoustev,3,1.8
štika,194,333.7
candát,117,185.2
sumec,7,29.2
úhoř,33,28.5
pstruh obecný,0,0.0
pstruh duhový,1,0.5
lipan,0,0.0
siven,0,0.0
bolen,12,29.8
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,16,70.2
tolstolobik,0,0.0
karas,65,8.3
mník,0,0.0
jelec jesen,3,3.5
ostatní,1237,64.0
celkem uloveno,4598,4187.5
počet docházek,15804, 
počet zápisů rs,223, 
počet rybářů,1988, 
