kapr,446,972.5
lín,10,7.9
cejn,19,17.9
tloust,9,10.0
okoun,3,0.7
parma,0,0.0
ostroretka,0,0.0
podoustev,3,0.3
štika,98,167.1
candát,46,67.3
sumec,4,26.8
úhoř,21,15.1
pstruh obecný,0,0.0
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,2,3.8
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,8,28.3
tolstolobik,0,0.0
karas,26,12.2
mník,0,0.0
jelec jesen,9,4.8
ostatní,145,7.6
celkem uloveno,849,1342.4
počet docházek,3965, 
počet zápisů rs,31, 
počet rybářů,534, 
