kapr,876,1789.9
lín,11,7.8
cejn,60,35.7
tloust,39,24.8
okoun,20,5.6
parma,0,0.0
ostroretka,0,0.0
podoustev,2,1.0
štika,58,93.3
candát,68,101.4
sumec,0,0.0
úhoř,38,31.8
pstruh obecný,0,0.0
pstruh duhový,1,0.3
lipan,0,0.0
siven,0,0.0
bolen,2,2.8
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,2,5.7
tolstolobik,0,0.0
karas,28,11.2
mník,0,0.0
jelec jesen,9,7.2
ostatní,329,15.4
celkem uloveno,1543,2133.6
počet docházek,5018, 
počet zápisů rs,48, 
počet rybářů,547, 
