kapr,236,584.4
lín,0,0.0
cejn,12,17.3
tloust,7,6.9
okoun,23,6.0
parma,0,0.0
ostroretka,14,11.5
podoustev,0,0.0
štika,52,123.8
candát,6,18.0
sumec,0,0.0
úhoř,1,1.1
pstruh obecný,1,0.3
pstruh duhový,0,0.0
lipan,0,0.0
siven,0,0.0
bolen,3,5.7
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,1,3.5
tolstolobik,0,0.0
karas,21,3.1
mník,0,0.0
jelec jesen,0,0.0
ostatní,25,7.4
celkem uloveno,402,788.8
počet docházek,1773, 
počet zápisů rs,3, 
počet rybářů,283, 
