kapr,143,418.1
lín,9,9.5
cejn,7,6.2
tloust,21,19.4
okoun,7,1.9
parma,3,6.6
ostroretka,0,0.0
podoustev,0,0.0
štika,21,69.8
candát,6,19.6
sumec,5,32.8
úhoř,0,0.0
pstruh obecný,5,1.4
pstruh duhový,60,27.5
lipan,0,0.0
siven,1,0.3
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,2,15.6
tolstolobik,0,0.0
karas,0,0.0
mník,0,0.0
jelec jesen,0,0.0
ostatní,17,1.1
celkem uloveno,307,629.7
počet docházek,3391, 
počet zápisů rs,31, 
počet rybářů,495, 
