kapr,3255,5419.8
lín,28,13.3
cejn,364,116.9
tloust,6,4.6
okoun,44,10.1
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,62,130.6
candát,54,108.9
sumec,1,20.0
úhoř,16,13.8
pstruh obecný,17,6.8
pstruh duhový,57,24.8
lipan,0,0.0
siven,0,0.0
bolen,5,5.9
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,35,96.8
tolstolobik,1,3.0
karas,68,32.0
mník,0,0.0
jelec jesen,0,0.0
ostatní,84,16.3
celkem uloveno,4097,6023.4
počet docházek,9352, 
počet zápisů rs,48, 
počet rybářů,1244, 
